GeneId:START_ID(Gene),Relation:TYPE,ProteinId:END_ID(Protein),RelationName
9289,GeneToProtein,Q9Y653,Code
577,GeneToProtein,O60242,Code
181,GeneToProtein,O00253,Code
166647,GeneToProtein,Q8IWK6,Code
27161,GeneToProtein,Q9UKV8,Code
186,GeneToProtein,P50052,Code
266977,GeneToProtein,Q5T601,Code
64902,GeneToProtein,Q9BYV1,Code
84059,GeneToProtein,Q8WXG9,Code
165082,GeneToProtein,Q8IZF5,Code
375790,GeneToProtein,O00468,Code
10149,GeneToProtein,Q8IZP9,Code
221393,GeneToProtein,Q8IZF3,Code
222487,GeneToProtein,Q86Y34,Code
185,GeneToProtein,P30556,Code
139378,GeneToProtein,Q8IZF6,Code
27245,GeneToProtein,Q5TGY3,Code
221188,GeneToProtein,Q8IZF4,Code
189,GeneToProtein,P21549,Code
22859,GeneToProtein,O94910,Code
113146,GeneToProtein,Q8IVF2,Code
54806,GeneToProtein,Q8N157,Code
23266,GeneToProtein,O95490,Code
79026,GeneToProtein,Q09666,Code
10598,GeneToProtein,O95433,Code
57491,GeneToProtein,A9YTQ3,Code
23284,GeneToProtein,Q9HAR2,Code
64853,GeneToProtein,Q96BJ3,Code
130872,GeneToProtein,Q719I0,Code
51327,GeneToProtein,Q9NZD4,Code
9131,GeneToProtein,O95831,Code
83543,GeneToProtein,Q9BQI0,Code
196,GeneToProtein,P35869,Code
199,GeneToProtein,P55008,Code
150209,GeneToProtein,Q96NN9,Code
57379,GeneToProtein,Q9GZX7,Code
51390,GeneToProtein,Q9NVV5,Code
9118,GeneToProtein,Q16352,Code
23746,GeneToProtein,Q9NZN9,Code
9447,GeneToProtein,O14862,Code
9255,GeneToProtein,Q12904,Code
55966,GeneToProtein,Q9UKB5,Code
84962,GeneToProtein,Q96IF1,Code
7965,GeneToProtein,Q13155,Code
1646,GeneToProtein,P52895,Code
8852,GeneToProtein,Q5JQC9,Code
389813,GeneToProtein,C9J069,Code
8227,GeneToProtein,Q02040,Code
9049,GeneToProtein,O00170,Code
340811,GeneToProtein,Q5T2L2,Code
83592,GeneToProtein,Q96JD6,Code
158798,GeneToProtein,Q86UN6,Code
9465,GeneToProtein,O43687,Code
8644,GeneToProtein,P42330,Code
54998,GeneToProtein,Q9NWT8,Code
326,GeneToProtein,O43918,Code
9495,GeneToProtein,P24588,Code
9465,GeneToProtein,Q9P0M2,Code
348094,GeneToProtein,Q495B1,Code
728780,GeneToProtein,A6NHY2,Code
10327,GeneToProtein,P14550,Code
79647,GeneToProtein,Q9H9L7,Code
642597,GeneToProtein,P0CW23,Code
54467,GeneToProtein,Q9P2G1,Code
1109,GeneToProtein,P17516,Code
55018,GeneToProtein,Q53H64,Code
54955,GeneToProtein,Q9NX04,Code
9472,GeneToProtein,Q13023,Code
11216,GeneToProtein,O43572,Code
56672,GeneToProtein,Q9NQ31,Code
8165,GeneToProtein,Q92667,Code
80709,GeneToProtein,Q7Z591,Code
