GeneId:START_ID(Gene),Relation:TYPE,DiseaseId:END_ID(Disease),DSI,DPI,RelationName
37,GeneToDisease,C3887523,0.653,0.654,Relate to
38,GeneToDisease,C0022333,0.538,0.692,Relate to
38,GeneToDisease,C0022661,0.538,0.692,Relate to
38,GeneToDisease,C0036572,0.538,0.692,Relate to
38,GeneToDisease,C0149958,0.538,0.692,Relate to
38,GeneToDisease,C0234533,0.538,0.692,Relate to
38,GeneToDisease,C0234535,0.538,0.692,Relate to
38,GeneToDisease,C0270824,0.538,0.692,Relate to
38,GeneToDisease,C0270844,0.538,0.692,Relate to
38,GeneToDisease,C0270846,0.538,0.692,Relate to
38,GeneToDisease,C0422850,0.538,0.692,Relate to
38,GeneToDisease,C0422852,0.538,0.692,Relate to
38,GeneToDisease,C0422853,0.538,0.692,Relate to
38,GeneToDisease,C0422854,0.538,0.692,Relate to
38,GeneToDisease,C0422855,0.538,0.692,Relate to
38,GeneToDisease,C0494475,0.538,0.692,Relate to
38,GeneToDisease,C0751056,0.538,0.692,Relate to
38,GeneToDisease,C0751110,0.538,0.692,Relate to
38,GeneToDisease,C0751123,0.538,0.692,Relate to
38,GeneToDisease,C0751494,0.538,0.692,Relate to
38,GeneToDisease,C0751495,0.538,0.692,Relate to
38,GeneToDisease,C0751496,0.538,0.692,Relate to
38,GeneToDisease,C1536500,0.538,0.692,Relate to
38,GeneToDisease,C3495874,0.538,0.692,Relate to
38,GeneToDisease,C4048158,0.538,0.692,Relate to
38,GeneToDisease,C4316903,0.538,0.692,Relate to
38,GeneToDisease,C4317109,0.538,0.692,Relate to
38,GeneToDisease,C4317123,0.538,0.692,Relate to
38,GeneToDisease,C4505436,0.538,0.692,Relate to
39,GeneToDisease,C0342735,0.686,0.462,Relate to
40,GeneToDisease,C0004352,0.653,0.538,Relate to
40,GeneToDisease,C0021368,0.653,0.538,Relate to
41,GeneToDisease,C0007786,0.653,0.615,Relate to
41,GeneToDisease,C0021368,0.653,0.615,Relate to
41,GeneToDisease,C0917798,0.653,0.615,Relate to
43,GeneToDisease,C0002395,0.445,0.885,Relate to
43,GeneToDisease,C0002726,0.445,0.885,Relate to
43,GeneToDisease,C0002871,0.445,0.885,Relate to
43,GeneToDisease,C0005684,0.445,0.885,Relate to
43,GeneToDisease,C0005695,0.445,0.885,Relate to
43,GeneToDisease,C0006142,0.445,0.885,Relate to
43,GeneToDisease,C0007134,0.445,0.885,Relate to
43,GeneToDisease,C0011265,0.445,0.885,Relate to
43,GeneToDisease,C0013221,0.445,0.885,Relate to
43,GeneToDisease,C0018273,0.445,0.885,Relate to
43,GeneToDisease,C0022333,0.445,0.885,Relate to
43,GeneToDisease,C0023186,0.445,0.885,Relate to
43,GeneToDisease,C0025261,0.445,0.885,Relate to
43,GeneToDisease,C0026650,0.445,0.885,Relate to
43,GeneToDisease,C0026850,0.445,0.885,Relate to
43,GeneToDisease,C0027765,0.445,0.885,Relate to
43,GeneToDisease,C0028754,0.445,0.885,Relate to
43,GeneToDisease,C0033578,0.445,0.885,Relate to
43,GeneToDisease,C0036341,0.445,0.885,Relate to
43,GeneToDisease,C0036572,0.445,0.885,Relate to
43,GeneToDisease,C0040822,0.445,0.885,Relate to
43,GeneToDisease,C0040827,0.445,0.885,Relate to
43,GeneToDisease,C0041755,0.445,0.885,Relate to
43,GeneToDisease,C0149840,0.445,0.885,Relate to
43,GeneToDisease,C0149958,0.445,0.885,Relate to
43,GeneToDisease,C0233794,0.445,0.885,Relate to
43,GeneToDisease,C0234370,0.445,0.885,Relate to
43,GeneToDisease,C0234371,0.445,0.885,Relate to
43,GeneToDisease,C0234372,0.445,0.885,Relate to
43,GeneToDisease,C0234373,0.445,0.885,Relate to
43,GeneToDisease,C0234374,0.445,0.885,Relate to
43,GeneToDisease,C0234375,0.445,0.885,Relate to
43,GeneToDisease,C0234376,0.445,0.885,Relate to
43,GeneToDisease,C0234377,0.445,0.885,Relate to
43,GeneToDisease,C0234378,0.445,0.885,Relate to
43,GeneToDisease,C0234379,0.445,0.885,Relate to
43,GeneToDisease,C0234381,0.445,0.885,Relate to
43,GeneToDisease,C0234533,0.445,0.885,Relate to
43,GeneToDisease,C0234535,0.445,0.885,Relate to
43,GeneToDisease,C0235078,0.445,0.885,Relate to
43,GeneToDisease,C0235081,0.445,0.885,Relate to
43,GeneToDisease,C0235082,0.445,0.885,Relate to
43,GeneToDisease,C0235083,0.445,0.885,Relate to
43,GeneToDisease,C0235843,0.445,0.885,Relate to
43,GeneToDisease,C0236733,0.445,0.885,Relate to
43,GeneToDisease,C0236804,0.445,0.885,Relate to
43,GeneToDisease,C0236807,0.445,0.885,Relate to
43,GeneToDisease,C0266487,0.445,0.885,Relate to
43,GeneToDisease,C0270824,0.445,0.885,Relate to
43,GeneToDisease,C0270844,0.445,0.885,Relate to
43,GeneToDisease,C0270846,0.445,0.885,Relate to
43,GeneToDisease,C0276496,0.445,0.885,Relate to
43,GeneToDisease,C0279702,0.445,0.885,Relate to
43,GeneToDisease,C0353676,0.445,0.885,Relate to
43,GeneToDisease,C0376358,0.445,0.885,Relate to
43,GeneToDisease,C0422850,0.445,0.885,Relate to
43,GeneToDisease,C0422852,0.445,0.885,Relate to
43,GeneToDisease,C0422853,0.445,0.885,Relate to
43,GeneToDisease,C0422854,0.445,0.885,Relate to
43,GeneToDisease,C0422855,0.445,0.885,Relate to
43,GeneToDisease,C0494463,0.445,0.885,Relate to
43,GeneToDisease,C0494475,0.445,0.885,Relate to
43,GeneToDisease,C0546126,0.445,0.885,Relate to
43,GeneToDisease,C0678222,0.445,0.885,Relate to
