GeneId:START_ID(Gene),Relation:TYPE,GeneId:END_ID(Gene),RelationName
641,GeneToGene,6129,Synthetic growth defect
641,GeneToGene,221,Synthetic growth defect
641,GeneToGene,6223,Synthetic growth defect
641,GeneToGene,9643,Synthetic growth defect
641,GeneToGene,8969,Synthetic growth defect
641,GeneToGene,51079,Synthetic growth defect
641,GeneToGene,83855,Synthetic growth defect
641,GeneToGene,1460,Synthetic growth defect
641,GeneToGene,79587,Synthetic growth defect
641,GeneToGene,231,Synthetic growth defect
641,GeneToGene,10267,Synthetic growth defect
641,GeneToGene,5707,Synthetic growth defect
641,GeneToGene,388585,Synthetic growth defect
641,GeneToGene,6147,Synthetic growth defect
641,GeneToGene,8725,Synthetic growth defect
641,GeneToGene,1052,Synthetic growth defect
3845,GeneToGene,26121,Synthetic growth defect
3845,GeneToGene,65094,Synthetic growth defect
3845,GeneToGene,55904,Synthetic growth defect
3845,GeneToGene,4543,Synthetic growth defect
3845,GeneToGene,9077,Synthetic growth defect
3845,GeneToGene,6223,Synthetic growth defect
3845,GeneToGene,92595,Synthetic growth defect
3845,GeneToGene,6840,Synthetic growth defect
3845,GeneToGene,51136,Synthetic growth defect
3845,GeneToGene,10765,Synthetic growth defect
3845,GeneToGene,9308,Synthetic growth defect
3845,GeneToGene,57703,Synthetic growth defect
3845,GeneToGene,9258,Synthetic growth defect
3845,GeneToGene,55622,Synthetic growth defect
3845,GeneToGene,55916,Synthetic growth defect
3845,GeneToGene,8228,Synthetic growth defect
3845,GeneToGene,6421,Synthetic growth defect
3845,GeneToGene,6636,Synthetic growth defect
3845,GeneToGene,4928,Synthetic growth defect
3845,GeneToGene,11138,Synthetic growth defect
3845,GeneToGene,89782,Synthetic growth defect
3845,GeneToGene,10393,Synthetic growth defect
3845,GeneToGene,144577,Synthetic growth defect
3845,GeneToGene,80201,Synthetic growth defect
3845,GeneToGene,4841,Synthetic growth defect
3845,GeneToGene,23315,Synthetic growth defect
3845,GeneToGene,102,Synthetic growth defect
3845,GeneToGene,196383,Synthetic growth defect
3845,GeneToGene,6142,Synthetic growth defect
3845,GeneToGene,9129,Synthetic growth defect
3845,GeneToGene,1690,Synthetic growth defect
3845,GeneToGene,6633,Synthetic growth defect
3845,GeneToGene,4664,Synthetic growth defect
3845,GeneToGene,8775,Synthetic growth defect
3845,GeneToGene,4048,Synthetic growth defect
3845,GeneToGene,29035,Synthetic growth defect
3845,GeneToGene,202374,Synthetic growth defect
3845,GeneToGene,10286,Synthetic growth defect
3845,GeneToGene,93233,Synthetic growth defect
3845,GeneToGene,79840,Synthetic growth defect
80198,GeneToGene,1387,Synthetic growth defect
80198,GeneToGene,84838,Synthetic growth defect
80198,GeneToGene,222255,Synthetic growth defect
80198,GeneToGene,339318,Synthetic growth defect
80198,GeneToGene,65980,Synthetic growth defect
80198,GeneToGene,4058,Synthetic growth defect
80198,GeneToGene,84928,Synthetic growth defect
80198,GeneToGene,7565,Synthetic growth defect
80198,GeneToGene,140467,Synthetic growth defect
80198,GeneToGene,2177,Synthetic growth defect
80198,GeneToGene,10574,Synthetic growth defect
80198,GeneToGene,26499,Synthetic growth defect
80198,GeneToGene,7189,Synthetic growth defect
80198,GeneToGene,55755,Synthetic growth defect
80198,GeneToGene,5425,Synthetic growth defect
80198,GeneToGene,140890,Synthetic growth defect
80198,GeneToGene,8914,Synthetic growth defect
80198,GeneToGene,5441,Synthetic growth defect
80198,GeneToGene,4189,Synthetic growth defect
80198,GeneToGene,6188,Synthetic growth defect
80198,GeneToGene,23633,Synthetic growth defect
80198,GeneToGene,51106,Synthetic growth defect
80198,GeneToGene,8805,Synthetic growth defect
80198,GeneToGene,10267,Synthetic growth defect
80198,GeneToGene,673,Synthetic growth defect
80198,GeneToGene,6491,Synthetic growth defect
80198,GeneToGene,7701,Synthetic growth defect
80198,GeneToGene,5981,Synthetic growth defect
80198,GeneToGene,3418,Synthetic growth defect
80198,GeneToGene,9416,Synthetic growth defect
80198,GeneToGene,29083,Synthetic growth defect
80198,GeneToGene,4188,Synthetic growth defect
80198,GeneToGene,7486,Synthetic growth defect
80198,GeneToGene,55095,Synthetic growth defect
80198,GeneToGene,56931,Synthetic growth defect
80198,GeneToGene,54617,Synthetic growth defect
80198,GeneToGene,7840,Synthetic growth defect
80198,GeneToGene,22938,Synthetic growth defect
80198,GeneToGene,9488,Synthetic growth defect
80198,GeneToGene,7415,Synthetic growth defect
80198,GeneToGene,51728,Synthetic growth defect
80198,GeneToGene,331,Synthetic growth defect
80198,GeneToGene,2005,Synthetic growth defect
80198,GeneToGene,23180,Synthetic growth defect
